Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-67.14	81.0	-22.06	10	20	0.08559970855712891	0.8785783074042619	0	2023	0.27150264382362366
150.0	-75.98	100.0	-36.74	19	40	0.0459419846534729	0.8583226915179357	0	3983	0.27150264382362366
150.0	-56.34	85.0	-33.56	27	60	0.030615293979644777	0.8350511300511092	0	6300	0.27150264382362366
6.0	-0.22	100.0	-36.63	39	80	0.0012608587741851807	0.81764228467991	1735	6339	-0.15461879968643188
15.0	-0.14	100.0	-18.95	49	100	0.0022623133659362793	0.8001504973131124	3559	6339	-0.14605119824409485
150.0	-65.4	61.0	-17.21	62	120	0.020084855953852336	0.784166872484548	5262	6339	-0.13491366803646088
150.0	-52.52	100.0	-37.69	70	140	0.018340044362204416	0.7654050240282079	7313	6339	-0.14070753753185272
26.0	-0.24	81.0	-32.6	82	160	0.0026550814509391785	0.7495143786352676	9090	6340	-0.507450520992279
83.0	-0.47	62.0	-24.37	94	180	0.007434289985232883	0.7358002122246438	10654	6340	-0.5345955491065979
19.0	-0.13	100.0	-28.74	106	200	0.0013978087902069092	0.7201146716685732	12485	6340	-0.5198168754577637
150.0	-44.91	100.0	-47.02	111	220	0.011136829853057861	0.6987022634903831	15063	6341	-0.875140368938446
44.0	-0.38	88.0	-37.96	120	240	0.002994762857755025	0.6812953688701235	17219	6341	-0.8925760388374329
150.0	-42.91	82.0	-25.55	131	260	0.010016820063957802	0.6668024840036995	19057	6341	-0.8728650212287903
25.0	-0.38	61.0	-17.8	139	280	0.0014140912464686802	0.651212740528248	21085	6341	-0.8789319396018982
43.0	-0.21	100.0	-29.52	154	300	0.002639006773630778	0.638829312412247	22730	6342	-1.2779080867767334
114.0	-0.43	82.0	-30.83	169	320	0.006812478601932526	0.6286361387153757	24107	6342	-1.2460963726043701
150.0	-67.81	61.0	-18.83	176	340	0.008346927867216223	0.6131375134082214	26259	6342	-1.2515497207641602
9.0	-0.18	81.0	-27.07	187	360	0.00041341582934061684	0.6003950810230024	28070	6342	-1.2587660551071167
150.0	-47.51	62.0	-18.89	200	380	0.007144883431886372	0.5874234597970619	29958	6342	-1.2667735815048218
150.0	-50.05	62.0	-20.29	213	400	0.007433346509933472	0.5774208725660929	31441	6343	-1.6583667993545532
150.0	-57.03	86.0	-25.44	226	420	0.006783520607721238	0.5674297926112781	32951	6343	-1.6338293552398682
9.0	-0.13	100.0	-26.25	234	440	0.0004818477413871072	0.553073533604883	35182	6343	-1.6347846984863281
150.0	-78.97	100.0	-38.51	247	460	0.0063756103100983995	0.5421513787154403	36918	6343	-1.6286026239395142
150.0	-63.08	45.0	-18.81	258	480	0.006189899146556854	0.5295623175487926	38971	6344	-1.9869922399520874
29.0	-0.44	100.0	-38.33	271	500	0.001114497184753418	0.5187930201926275	40768	6344	-1.994507074356079
150.0	-60.16	77.0	-23.02	282	520	0.005718778188412006	0.508483291550174	42527	6344	-1.9610589742660522
150.0	-46.44	29.0	-8.81	291	540	0.005366976172835739	0.49470509271920204	44948	6344	-1.9826887845993042
8.0	-0.13	100.0	-27.58	304	560	0.0002504914999008179	0.48455014626994264	46776	6345	-2.353734016418457
150.0	-54.54	100.0	-39.01	315	580	0.004910830793709591	0.474133748253626	48697	6345	-2.3345484733581543
150.0	-49.95	58.0	-18.06	324	600	0.005172370274861653	0.46327938840260235	50751	6345	-2.3437116146087646
150.0	-53.05	80.0	-33.69	338	620	0.004691443135661464	0.4544482730104381	52459	6345	-2.359229564666748
150.0	-60.75	62.0	-15.39	353	640	0.004342446476221085	0.44780476689161514	53764	6346	-2.7225887775421143
23.0	-0.4	81.0	-27.17	365	660	0.0006447073185082638	0.43840023811537043	55658	6346	-2.6749255657196045
