Step	Validation total_reward	Q network loss	Value network loss	Policy Loss	Alpha Loss	Log Pi
11000	-3.553677766921901	0.15219745	0.45688915	-4.8897233	-4.2874413	-2.2940905
12000	-4.937098746972117	0.012586372	0.09026755	-5.928281	-8.588359	-2.2945633
13000	-5.5255399526408935	0.0052173883	0.017594328	-6.146813	-12.048365	-2.0183313
14000	-3.432674987286782	0.0027192389	0.0049051596	-5.605517	-16.06572	-2.0312302
15000	-3.905230904393902	0.007842019	0.032756113	-5.2919664	-19.181934	-1.8812693
16000	-1.120071848179014	0.06952291	0.008736983	-4.8247037	-13.03656	-0.24769464
17000	-4.6951435831788855	0.0043005957	0.0039658314	-4.352067	-10.807005	0.33905405
18000	-3.5354360977777564	0.0016712542	0.002323267	-3.9573808	-5.22438	1.2547115
19000	-4.461906185990715	0.0010536566	0.0009962313	-3.5392325	-4.215022	1.4286084
20000	-2.08670752777938	0.0010629733	0.0007938203	-3.058999	-4.1849556	1.4400632
21000	-7.02457683842985	0.00080225983	0.0012130097	-2.6896677	1.2427232	2.1606555
22000	-1.5984605065683366	0.0014145116	0.002326352	-2.3036337	3.0649807	2.3994288
23000	-1.176094478110342	0.0015609523	0.0017621806	-1.9690266	-0.12024534	1.9843049
24000	-5.631027252295237	0.0079211425	0.001623728	-1.6146761	-2.5063624	1.6728001
25000	-4.922397961933072	0.0020272061	0.0044044023	-1.208457	3.7241702	2.4878745
26000	-2.3035634885492744	0.0012177886	0.0010704482	-1.0054905	-2.3673823	1.6918993
27000	-5.232920208138011	0.0012856631	0.0007247045	-0.7289415	4.159745	2.549047
28000	-5.27827047964636	0.0028038048	0.004357815	-0.37891814	-2.9919562	1.6066964
29000	-2.3534592772637613	0.0017116403	0.0013290006	-0.15886985	3.6595476	2.4824615
30000	-3.7450358023734585	0.0013739255	0.0013889879	0.07856369	-3.3210552	1.5596479
31000	-4.262339933126132	0.0048685353	0.00821428	0.38358524	1.3603201	2.1832833
32000	-5.291503253547438	0.002028958	0.003923107	0.4473899	3.0459857	2.4195814
33000	-1.3917943289183987	0.0032592788	0.004331497	0.72353506	-3.5612342	1.499939
34000	-6.531366975073616	0.0041289227	0.003264647	1.0278671	1.8512173	2.2632062
35000	-2.1736767829209427	0.012596875	0.0148744965	0.90527815	2.8731356	2.4161217
36000	-1.4884773182746265	0.005332391	0.0038154032	1.1862447	-3.3354912	1.5132365
