Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.4971827061304128	121.0	0.2509357003051452	0.0	-4.426029418068313	0.003739890910538433	0.04916963831845657	3.342594541500163	-2.7069424250121674	0.288663446612385
12000	-0.2771976744478357	119.8	0.16957417307893732	2.4000000000000004	-7.78671616641444	0.01030905302767029	0.015025606998678179	5.556736879389627	-5.589878253639182	0.20027184270849097
13000	-0.5240831822921896	121.0	0.2524692412893778	0.0	-10.773859098643442	0.022113632229925406	0.011781458084641948	7.894722729340427	-8.072988622255405	0.2931809553871316
14000	-0.47197448918002227	121.0	0.2270469729726942	0.0	-13.555854470785107	0.017197130257299915	0.002344276823140529	9.538883491564341	-9.261045493409718	0.6381801075700632
15000	-0.3409322408760937	100.6	0.2446849013913122	40.800000000000004	-16.108737187864026	0.03629484811053145	0.030647918450642832	12.43155676033753	-9.378858768013568	1.037601510397886
16000	-0.2031875339764248	97.0	0.6082345364857432	48.0	-18.501921904684803	0.040776629108561356	0.011341061728385414	14.43760214946761	-5.121762833238572	2.0700987740644803
17000	-0.508106534338642	121.0	0.20238931977046903	0.0	-20.698732300764302	0.050561950511862956	0.023571175456412758	15.721606111063156	-3.8108811230267685	2.372776367463575
18000	-0.6087363529794427	121.0	0.20733440662395894	0.0	-22.742143230156746	0.043179758314083466	0.04523438888639906	17.45638560738343	0.4876210314295446	3.0775519422809094
19000	-0.22391616777733764	97.0	0.6697567765929292	48.0	-24.674674667665773	0.07503857817530778	0.015194328948705602	19.55322179722027	-0.4301553900359939	2.9295588311385328
20000	-0.6810773881583397	121.0	0.2734234018810609	0.0	-26.386603521054287	0.1584756483854911	0.3433221587849018	20.094475000782843	-0.057089121760014974	2.990533486642204
21000	-0.45734343593229204	113.8	0.19303264048504268	14.4	-28.339429044158443	0.09952143434082988	0.07537981082845963	21.861133603331627	-1.486348220043575	2.747116686166207
22000	-0.4249561610724536	103.6	0.19944117468047362	34.8	-30.015291086438495	0.1409048450132439	0.05336890454448324	18.582829792490053	1.0235157771977228	3.1760791877696244
23000	-0.13006429026262023	91.8	0.5975930402109028	46.50333321386758	-31.545251516700457	0.12121473301275458	0.03244228077047669	22.7132214242053	1.2283296698080308	3.221445786764685
24000	-0.49470541770669174	117.0	0.14293934094305866	8.0	-33.26146748687337	0.13079295445197683	0.0250903775998512	26.69842420499184	-1.964454926482403	2.6419945522671036
25000	-0.2472384395819546	97.0	0.645797568257499	48.0	-34.641696879857975	0.16096754122322093	0.07687532980657014	21.71791588131117	0.28643282831971634	3.0522365469168866
26000	-0.35844418244956217	105.6	0.16799743471721812	30.8	-36.271655859515015	0.24359789537537163	0.09585553904514321	26.56353362697608	0.5994409391848359	3.110529402922708
27000	-0.2960099191602255	99.0	0.1544523340829837	30.925717453278267	-37.433884623897505	0.23327835011954073	0.021782324673568932	27.698496823771592	0.5531324424635825	3.104395725075368
28000	-0.45648172290439815	121.0	0.11038601193555525	0.0	-38.68476738250232	0.20715469764763794	0.05420889586138053	27.688192193536885	-2.032123032563956	2.611597907535157
29000	-0.4401531989321141	106.4	0.3020376069670711	29.2	-40.14363301177326	0.25829992542579705	0.06899511546157971	30.19572294188586	-0.8607287178900833	2.836063926988099
30000	-0.5232796185654415	121.0	0.22349606354046225	0.0	-41.294815210172864	0.2530538824439583	0.037851317143913744	26.991367287768757	0.7717164830235161	3.149411699966029
31000	-0.5173214334823365	120.4	0.2410168505739275	1.2	-42.77164397214705	0.18902131058211438	0.3915472530510078	30.330565486135487	0.016878022689718126	3.003294886456196
32000	-0.07703456700316794	97.0	0.5518945229892397	48.0	-43.41253739769181	0.26847159983189395	0.06361868398313232	32.31223161807558	0.17658478704439676	3.0343997081861502
33000	-0.540583234845007	121.0	0.12510756104038223	0.0	-44.74259721423846	0.4821805725815548	0.5457264923340635	33.87450346411186	-0.36254149942145963	2.9297628255186625
34000	-0.47605573357132236	121.0	0.102570301905726	0.0	-45.655599724256454	0.23246214929483958	0.4371290137234461	33.173257920760165	-1.1819787567318722	2.7680615025561943
35000	-0.5196888840429923	106.2	0.23585169069377512	29.6	-46.851260738035755	0.20057666613237535	0.046151166327274375	38.302673199778646	0.21500004496402525	3.042658456887242
36000	-0.27086681331464657	121.0	0.09732072890702642	0.0	-47.730398101898395	0.37227297381185065	0.08267678027637711	38.618445118351715	0.09857672186979771	3.019163128088657
37000	-0.17217332101278665	97.0	0.5918052132973374	48.0	-48.371944927388036	0.5826442244101729	0.4911496841191998	33.06893687701199	2.3668765303950035	3.4698242122203276
38000	-0.24922687545097322	97.0	0.6457748913005193	48.0	-49.70289531602296	0.7410177574102864	0.15307373103835653	34.835936474679066	1.489492565582518	3.3000797069550716
39000	-0.44282418828049896	121.0	0.12989609752219025	0.0	-50.31153080125838	0.5660041166773573	0.2433713199522264	35.04879023697674	-0.243998929798572	2.9503369832301694
40000	-0.36175283782217615	114.4	0.19523836462131972	13.2	-51.38536781111699	0.6492819209894275	0.14812367704881713	36.077430957632664	-0.39564450131029744	2.9185124369663424
41000	-0.019311479771587627	81.4	0.5145068669206366	43.8935074925666	-52.049437025205634	0.40119250910729315	0.10176950623665795	35.78386127161247	-0.315944990063147	2.9351019012075565
42000	-0.41161714692105955	103.8	0.18796543359614912	30.557486807654847	-52.83920043293986	0.43881994212631237	0.15748206601029635	42.964708432697286	-0.5586924156760671	2.885384813137202
