Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-44.88	86.0	-28.49	6	20	1.5144996404647828	0.87416755236247	0	2450	0.15818513929843903
150.0	-54.64	100.0	-42.2	14	40	0.7593981921672821	0.8508401382897546	0	4727	0.15818513929843903
150.0	-63.25	100.0	-36.5	22	60	0.5328665892283122	0.8259971515429152	882	6346	-0.256512850522995
150.0	-39.9	81.0	-19.05	28	80	0.39753512144088743	0.8036656611814204	3198	6346	-0.253105491399765
5.0	-0.09	80.0	-40.56	40	100	0.010813069343566895	0.7867041224341484	4999	6346	-0.21986322104930878
150.0	-62.6	100.0	-34.44	48	120	0.26348294615745543	0.7677877047446243	7060	6346	-0.23591569066047668
150.0	-40.67	100.0	-34.61	53	140	0.22695683411189488	0.7458341554104274	9525	6347	-0.600753903388977
94.0	-0.48	100.0	-37.78	63	160	0.12292927652597427	0.728382541605171	11537	6347	-0.6005702018737793
9.0	-0.19	100.0	-46.78	76	180	0.010304125150044759	0.715165811039177	13091	6347	-0.601464569568634
150.0	-65.37	100.0	-30.57	87	200	0.16002419471740723	0.6998059952444924	14940	6347	-0.6228424310684204
13.0	-0.19	70.0	-26.01	100	220	0.013073669780384411	0.6856584237456999	16681	6348	-0.9976752400398254
102.0	-0.32	80.0	-21.78	112	240	0.08940216402212779	0.6688799731774241	18801	6348	-0.9869747161865234
150.0	-58.92	100.0	-31.07	126	260	0.11981489199858446	0.6547703804149159	20626	6348	-1.0063611268997192
150.0	-40.08	100.0	-44.72	136	280	0.11563912800380162	0.6382260715807657	22825	6349	-1.360166311264038
150.0	-58.31	80.0	-16.16	147	300	0.10414211988449097	0.6261317398052934	24467	6349	-1.34688138961792
150.0	-59.75	80.0	-31.44	157	320	0.09972821176052094	0.6104549415191068	26654	6349	-1.3642501831054688
9.0	-0.25	71.0	-28.49	168	340	0.006147772424361285	0.5981225259655154	28414	6349	-1.3610267639160156
41.0	-0.23	100.0	-44.72	178	360	0.02392743428548177	0.5840216330580857	30479	6350	-1.6962946653366089
96.0	-0.33	65.0	-22.91	189	380	0.053494854977256374	0.5700884272304	32574	6350	-1.67910635471344
150.0	-62.59	80.0	-29.24	201	400	0.07888731122016907	0.5597326382258617	34163	6350	-1.7263039350509644
1.0	-0.02	64.0	-15.88	215	420	0.0006283419472830637	0.5487718862687393	35882	6350	-1.7022699117660522
14.0	-0.12	81.0	-40.13	228	440	0.006449606743725863	0.5383763655517042	37547	6351	-1.9884659051895142
72.0	-0.17	61.0	-23.05	240	460	0.03250790160635243	0.5270512127993199	39404	6351	-2.0251567363739014
110.0	-0.53	81.0	-19.27	252	480	0.04913326998551686	0.5161285010712072	41237	6351	-2.0404858589172363
150.0	-49.61	100.0	-20.24	265	500	0.0637873911857605	0.5070813343125571	42785	6351	-2.0332274436950684
16.0	-0.14	80.0	-26.73	280	520	0.006721600202413706	0.4996744378482909	44072	6351	-2.0310423374176025
150.0	-49.09	100.0	-27.17	290	540	0.05891425300527502	0.4892083269986836	45936	6352	-2.3709261417388916
8.0	-0.15	100.0	-42.16	303	560	0.0030373964990888323	0.4795975539890216	47686	6352	-2.3545682430267334
18.0	-0.16	64.0	-19.63	317	580	0.006508394356431632	0.4712594225486248	49234	6352	-2.388397216796875
3.0	-0.06	100.0	-38.84	330	600	0.0011204644044240316	0.4630624736687909	50786	6352	-2.3801193237304688
150.0	-46.97	61.0	-25.51	343	620	0.05190514864460115	0.45470113219133257	52402	6352	-2.38480281829834
54.0	-0.39	47.0	-8.38	354	640	0.018201153725385666	0.4452817688609556	54266	6353	-2.722438335418701
11.0	-0.16	100.0	-31.39	369	660	0.003521073225772742	0.4379683831143521	55740	6353	-2.742990255355835
22.0	-0.34	81.0	-30.93	382	680	0.0069111589123221	0.4286591081280661	57663	6353	-2.720956325531006
10.0	-0.11	62.0	-25.21	395	700	0.0030943758147103447	0.41907923481454373	59693	6353	-2.7075469493865967
124.0	-0.32	89.0	-26.41	409	720	0.036386705107159086	0.41109329125798344	61423	6354	-3.0802414417266846
2.0	-0.05	100.0	-33.12	420	740	0.0005322414475518304	0.4033331393697667	63141	6354	-3.1079282760620117
62.0	-0.34	80.0	-27.48	430	760	0.017034404842477095	0.39451886500256844	65142	6354	-3.1094634532928467
150.0	-63.03	48.0	-16.92	442	780	0.040895500855568125	0.38712333731184895	66858	6354	-3.0899970531463623
112.0	-0.27	80.0	-25.14	453	800	0.029881948828697203	0.3787134338537347	68859	6355	-3.4459285736083984
150.0	-39.52	100.0	-40.85	459	820	0.03944971445130139	0.3698609434033962	71023	6355	-3.4803712368011475
74.0	-0.37	100.0	-47.16	472	840	0.018587822857357206	0.3626857990584013	72818	6355	-3.453173875808716
96.0	-0.29	61.0	-18.38	483	860	0.02409456219784049	0.3551142661266297	74759	6355	-3.4322547912597656
150.0	-28.3	81.0	-22.25	496	880	0.03626268235119906	0.3487400656039732	76428	6356	-3.8086018562316895
19.0	-0.3	46.0	-14.25	509	900	0.004538613690270318	0.342360125677455	78135	6356	-3.8127384185791016
150.0	-68.26	100.0	-36.74	522	920	0.03538611634917881	0.3357947367524046	79932	6356	-3.7941510677337646
2.0	-0.03	80.0	-21.29	533	940	0.0004173755645751953	0.3299850893652581	81555	6356	-3.827242612838745
56.0	-0.18	62.0	-16.54	548	960	0.012276723980903625	0.32557542042718113	82805	6357	-4.1569132804870605
150.0	-43.34	81.0	-25.21	561	980	0.03275969904296252	0.31937685563011436	84605	6357	-4.15878438949585
53.0	-0.37	69.0	-23.36	572	1000	0.011283109664916992	0.31280803204600327	86560	6357	-4.1332688331604
150.0	-0.3	100.0	-36.84	586	1020	0.031042437693651986	0.30664950222217424	88437	6357	-4.175978183746338
2.0	-0.03	100.0	-38.01	600	1040	0.0003848901161780724	0.30211840782675026	89842	6357	-4.157580375671387
69.0	-0.3	46.0	-10.43	611	1060	0.013755142238904845	0.29624730836238095	91707	6358	-4.435209274291992
110.0	-0.41	100.0	-31.76	624	1080	0.021874360022721466	0.29054600241428963	93561	6358	-4.497962474822998
14.0	-0.15	80.0	-19.57	639	1100	0.0027172697674144397	0.28677820272843757	94804	6358	-4.505843639373779
119.0	-0.18	100.0	-25.15	650	1120	0.022728600672313144	0.2813828850682786	96628	6358	-4.482881546020508
13.0	-0.42	87.0	-28.09	658	1140	0.002520486137323212	0.27528107605579805	98746	6359	-4.826004981994629
7.0	-0.16	100.0	-25.82	672	1160	0.0013404638602815826	0.27070431168623976	100368	6359	-4.808230400085449
150.0	-55.8	100.0	-22.92	686	1180	0.027374322131528694	0.26630432961776485	101959	6359	-4.795799732208252
40.0	-0.17	71.0	-17.74	702	1200	0.007460220456123352	0.2617431216145975	103644	6359	-4.823837757110596
150.0	-77.97	62.0	-13.33	710	1220	0.02627590582018993	0.2558991219311546	105863	6360	-5.159066677093506
150.0	-64.88	80.0	-32.97	722	1240	0.026009649615133964	0.25081796470625534	107842	6360	-5.152650833129883
44.0	-0.3	62.0	-15.15	734	1260	0.007210989793141683	0.2463279253081575	109631	6360	-5.157433986663818
40.0	-0.28	81.0	-29.58	744	1280	0.006586610339581966	0.2414446723194955	111626	6360	-5.13046932220459
150.0	-49.06	81.0	-33.2	755	1300	0.024597072234520546	0.23716654762383332	113414	6361	-5.497345924377441
150.0	-70.6	62.0	-16.7	766	1320	0.024416341023011642	0.23229911909202183	115502	6361	-5.516961097717285
110.0	-0.42	100.0	-30.46	776	1340	0.017136614358247215	0.22760932760624536	117567	6361	-5.521506309509277
150.0	-61.96	83.0	-26.09	788	1360	0.023609780213412118	0.22345164363188685	119442	6361	-5.490673065185547
150.0	-52.4	62.0	-27.63	798	1380	0.023206858358521393	0.21984289275469193	121104	6362	-5.809780120849609
2.0	-0.05	100.0	-24.31	810	1400	0.0003316317285810198	0.21646105022715417	122693	6362	-5.8169169425964355
128.0	-0.41	69.0	-23.19	825	1420	0.019398832656967808	0.21346090514531812	124128	6362	-5.825776100158691
150.0	-68.42	82.0	-18.74	836	1440	0.02235517104466756	0.20942504101735182	126108	6362	-5.848870277404785
140.0	-0.23	68.0	-25.39	849	1460	0.02053351353292596	0.20596378759229117	127844	6363	-6.193231105804443
