Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.38018201295428156	60.0	0.12373542652072386	0.0	0.0	0.09845023	-0.51500356	-3.3982913	-1.4004452
12000	-0.3928507681840317	60.0	0.06078900941100613	0.0	0.0	0.042910654	-0.18716636	-6.766118	-1.3837793
13000	-0.2838156152916941	60.0	0.0761187291377291	0.0	0.0	0.13942811	-0.070532456	-10.253319	-1.4179184
14000	-0.29567838442840577	60.0	0.03973840939639844	0.0	0.0	0.1785458	-0.02455807	-13.367839	-1.3420415
15000	-0.2638111931628692	60.0	0.0465987993054572	0.0	0.0	0.2137511	-0.008978851	-16.667667	-1.3336604
16000	-0.3671484381067097	60.0	0.028301674755921945	0.0	0.0	0.17036942	-0.0033098909	-20.0149	-1.3360586
17000	-0.3036138303577699	60.0	0.091880249225972	0.0	0.0	0.23543148	-0.0012014891	-23.220533	-1.317665
18000	-0.38242860979538873	60.0	0.10909572418183505	0.0	0.0	0.2055241	-0.00046543352	-27.095787	-1.3874068
19000	-0.32673151845362236	60.0	0.12255972943531024	0.0	0.0	0.21992315	-0.00016166514	-29.795876	-1.3107934
20000	-0.3789318035131971	60.0	0.0830400509054727	0.0	0.0	0.24800465	-6.147277e-05	-33.542088	-1.3544412
21000	-0.3613037288699315	60.0	0.06912816244407721	0.0	0.0	0.23314139	-2.2898432e-05	-37.083107	-1.3714111
22000	-0.3383903377604235	60.0	0.07993093472798111	0.0	0.0	0.23957027	-7.938087e-06	-39.50562	-1.2923316
23000	-0.3131488200098577	60.0	0.07082309303734381	0.0	0.0	0.26024145	-3.0268893e-06	-43.400906	-1.3388441
24000	-0.36919121888011014	60.0	0.07060081952902175	0.0	0.0	0.21587926	-1.1020672e-06	-46.552505	-1.3254066
25000	-0.30022353539849245	60.0	0.07680694147414767	0.0	0.0	0.24575558	-4.2042552e-07	-50.6029	-1.3738399
26000	-0.24172375107902927	60.0	0.0446599265000238	0.0	0.0	0.23323414	-1.4884567e-07	-53.14452	-1.3218648
27000	-0.3160875246611086	60.0	0.05946111808632189	0.0	0.0	0.24767846	-5.452542e-08	-56.371193	-1.3162652
28000	-0.2758263987294756	60.0	0.07296270715477643	0.0	0.0	0.22605118	-2.033875e-08	-60.012486	-1.3343619
29000	-0.3087970507852865	60.0	0.048314508522777445	0.0	0.0	0.22020951	-7.3011717e-09	-62.73623	-1.3022033
30000	-0.32414997187204303	60.0	0.08237091080540586	0.0	0.0	0.2112366	-2.7299891e-09	-66.473694	-1.3239224
31000	-0.34181159947164913	60.0	0.07270477702482776	0.0	0.0	0.24473792	-1.0332974e-09	-70.59509	-1.3619261
32000	-0.30913833727801443	60.0	0.06305668742952626	0.0	0.0	0.19692677	-3.6290118e-10	-72.58644	-1.2996818
33000	-0.2777390226557535	60.0	0.031368997086740416	0.0	0.0	0.23226911	-1.3671511e-10	-76.60515	-1.3309462
34000	-0.2998056150536951	60.0	0.0717555502217207	0.0	0.0	0.22548826	-5.3608916e-11	-82.039734	-1.4186102
35000	-0.29905239389930804	60.0	0.07599106027856091	0.0	0.0	0.19253321	-1.8386912e-11	-83.06363	-1.3227941
36000	-0.2879141519610585	60.0	0.08084895177778119	0.0	0.0	0.22972298	-6.5672853e-12	-85.38812	-1.2843852
37000	-0.268737284263951	60.0	0.04696430416460525	0.0	0.0	0.2130739	-2.5893e-12	-91.15928	-1.3764981
38000	-0.23233305435294907	60.0	0.03546507605934937	0.0	0.0	0.23721167	-9.112147e-13	-92.8571	-1.3165593
39000	-0.0912478665199958	48.2	0.5493209566676255	23.599999999999994	0.0	0.21892025	-3.2432366e-13	-94.93393	-1.2738044
40000	-0.2977753174531113	60.0	0.04185322348136063	0.0	0.0	0.2375733	-1.2189727e-13	-99.03044	-1.301244
41000	-0.25997055808765895	60.0	0.043049374798014	0.0	0.0	0.2331932	-4.503647e-14	-102.493324	-1.3064872
42000	-0.3083666119040418	60.0	0.09626958494765579	0.0	0.0	0.22609021	-1.7815329e-14	-108.94892	-1.4049007
43000	-0.26321668008565513	60.0	0.03514053922445999	0.0	0.0	0.25089368	-6.034002e-15	-108.67049	-1.2932888
44000	-0.2940085657356256	60.0	0.07555382234815726	0.0	0.0	0.21170332	-2.407634e-15	-115.67328	-1.4024227
45000	-0.41450777276955647	60.0	0.06175807109796662	0.0	0.0	0.20793948	-8.47697e-16	-116.96724	-1.3421786
46000	-0.26721319144621114	60.0	0.05995745973820944	0.0	0.0	0.22612458	-2.9415633e-16	-117.565704	-1.2659626
47000	-0.2773612926404591	60.0	0.059099425644195486	0.0	0.0	0.21396554	-1.1279235e-16	-122.82177	-1.3197389
48000	-0.3896163882091561	60.0	0.05505525405862313	0.0	0.0	0.23860607	-4.40279e-17	-129.20316	-1.4003153
49000	-0.284048842970972	60.0	0.04130433638412654	0.0	0.0	0.25176603	-1.545105e-17	-130.06833	-1.3353381
50000	-0.35164861181497975	60.0	0.10848585360999621	0.0	0.0	0.20528087	-5.56811e-18	-132.31462	-1.3081088
51000	-0.41398469579832387	60.0	0.07336514003699861	0.0	0.0	0.24208322	-2.146358e-18	-138.1741	-1.3703609
52000	-0.3025769963723751	60.0	0.09165829831692564	0.0	0.0	0.22237137	-8.189419e-19	-143.68011	-1.4212171
